id,scientific name,english name,hindi name,family,tree_class
204,Ficus rumphii,Mock bodh Tree, Ashta,Pilkhan,Moraceae
205,Ficus tinctoria subsp. gibbosa,Dye Fig,NA,Moraceae,Ornamental tree
206,Filicium decipiens,Fern tree,Katu,Sapindaceae,Ornamental tree
207,Firmiana colorata,Scarlet Sterculia,Kaushi,Malvaceae,Wild tree
208,Firmiana simplex,Ghost Tree,Kulu,Malvaceae,Wild tree
209,Flacourtia indica,Governor's Plum,Bilangada,Salicaceae,Wild tree
210,Flacourtia jangomas,Indian plum,Champeran,Flacourtiaceae,Wild tree
211,Garcinia gummi-gutta,Cambodge tree,kudam puli,Clusiaceae,Medicinal tree
212,Garcinia indica,Kokam butter tree,kokum,Clusiaceae,Fruiting tree
213,Garcinia livingstonei,African mangosteen,NA,Clusiaceae,Ornamental tree
214,Gardenia latifolia,Indian Boxwood,paphar,Rubiaceae,Avenue tree
215,Gardenia resinifera,Brilliant Gardenia,dekamali,Rubiaceae,Ornamental tree
216,Garuga pinnata,Garuga,kharpat,Burseraceae,Medicinal tree
217,Givotia moluccana,White Catamaran tree,Pankhi,Euphorbiaceae,Wild tree
218,Gliricidia sepium,Mother of cocoa,NA,Fabaceae,Avenue tree
219,Glochidion ellipticum,Bhoma,Bhoma,Phyllanthaceae,Wild tree
220,Gmelina arborea,White Teak,Gamhar,Lamiaceae,Avenue tree
221,Grevillea robusta,Silver oak,Khajur,Proteaceae,Avenue tree
222,Grewia flavescens,Sandpaper Raisin,NA,Tiliaceae,Wild tree
223,Grewia asiatica,Phalsa,Phalsa,Malvaceae,Avenue tree
224,Grewia nervosa,Microcos,Shiral,Tiliaceae,Ornamental tree
225,Grewia tiliifolia,Dhaman,Dhamani,Malvaceae,Ornamental tree
226,Guaiacum officinale,Tree of Life,NA,Zygophyllaceae,Medicinal tree
227,Guazuma ulmifolia,West indiam elm,Rudrakshi,Malvaceae,Ornamental tree
228,Gustavia augusta,Majestic heaven lotus,NA,Lecythidaceae,Ornamental tree
229,Haematoxylon campechianum,Campeachy Wood,NA,Leguminosae,Medicinal tree
230,Haldina cordifolia,Haldu,Karam,Rubiaceae,Avenue tree
231,Hardwickia binata,Anjani,Anjani,Leguminosae,Avenue tree
233,Heterophragma quadriloculare,Waras,NA,Bignoniaceae,Avenue tree
234,Hevea brasiliensis,Rubber Tree,NA,Euphorbiaceae,Ornamental tree
235,Hibiscus tilliaceus,Sea hibiscus,Bola,Malvaceae,Ornamental tree
236,Holarrhena pubescens,Indrajao,Karva indrajau,Apocynaceae,Medicinal tree
238,Holoptelea integrifolia,Indian Elm,Kanju,Ulmaceae,Avenue tree
239,Hura crepitans,Sandbox Tree,Huru,Euphorbiaceae,Ornamental tree
240,Hydnocarpus pentandrus,Jangli Almond,Jangli badam,Flacourtiaceae,Medicinal tree
241,Hyphaene thebaica,Donum palm,NA,Arecaceae,Palms
242,Ixora parviflora,Small flowered Ixora,NA,Rubiaceae,Ornamental tree
243,Jacaranda mimosifolia,Blue Jacarand,Neeli gulmohur,Bignoniaceae,Medicinal tree
244,Jatropha curcas,Physic Nut,Jamal ghota,Euphorbiaceae,Medicinal tree
245,Khaya anthotheca,East African Mahogany,NA,Meliaceae,Avenue tree
246,Khaya grandifoliola,Senegal Mahogany,NA,Meliaceae,Avenue tree
247,Khaya senegalensis,African Mahogany,NA,Meliaceae,Avenue tree
248,Kigelia africana,Sausage Tree,Balam khira,Bignoniaceae,Avenue tree
249,Kleinhovia hospita,Guest Tree,Bhola,Malvaceae,Avenue tree
250,Koelreuteria bipinnata,Chinese Flame Tree,NA,Sapindaceae,Ornamental tree
251,Kydia calycina,Kydia,Ranbhendi,Malvaceae,Ornamental tree
252,Lafoensia vandelliana,NA,NA,Lythraceae,Ornamental tree
253,Lagerstroemia indica,Common Crape Myrtle,Sawani,Lythraceae,Avenue tree
254,Lagerstroemia lanceolata,Nandi Tree,Taman,Lythraceae,Avenue tree
255,Lagerstroemia microcarpa,Ben Teak,NA,Lythraceae,Avenue tree
256,Lagerstroemia speciosa,Queen Crape Myrtle,Taman,Lythraceae,Ornamental tree
257,Lagerstroemia thorelli,Crepe Myrtle,NA,Lythraceae,Ornamental tree
258,Lagerstroemia parviflora,Small Flowered Crape Myrtle,Dhaura,Lythraceae,Avenue tree
259,Lannea coromandelica,Indian Ash Tree,Mohin,Anacardiaceae,Wild tree
260,Leucaena leucocephala,Wild tamarind,Safed babool,Leguminosae,Ornamental tree
261,Licuala grandis,Ruffled Fan Palm,NA,Arecaceae,Avenue tree
262,Limonia acidissima,Wood Apple,Kaith,Rutaceae,Fruiting tree
263,Litchi chinensis,Litchi,Lichi,Sapindaceae,Fruiting tree
264,Litsea deccanensis,Deccan Tallow Laurel,Chikna,Lauraceae,Wild tree
265,Livistona chinensis,Chinese Fan Palm,NA,Arecaceae,Palms
266,Luehea candida,NA,NA,Malvaceae,Ornamental tree
268,Macaranga peltata,Chandada,Chand Kal,Euphorbiaceae,Wild tree
269,Madhuca longifolia,Indian Butter Tree,Mahua,Sapotaceae,Fruiting tree
270,Maesopsis eminii,Umbrella Tree,NA,Rhamnaceae,Wild tree
271,Magnolia champaca,Champa,Champa,Magnoliaceae,Flowering tree
272,Magnolia grandiflora,Magnolia,Him champa,Magnoliaceae,Flowering tree
273,Magnolia liliifera,Egg magnolia,Him champa,Magnoliaceae,Flowering tree
274,Mallotus nudiflorus,False White Teak,Pindalu,Euphorbiaceae,Medicinal tree
275,Mallotus philippensis,Monkey face tree,Sinduri,Euphorbiaceae,Medicinal tree
276,Malus domestica,Apple,Seb,Rosaceae,Ornamental tree
277,Mammea suriga,Indian Laurel,Surangan,Clusiaceae,Medicinal tree
278,Mangifera indica,Mango,Am,Anacardiaceae,Fruiting tree
279,Manihot esculenta,Tapioca,Shakarkand,Euphorbiaceae,Medicinal tree
280,Manilkara hexandra,Ceylon Ironwood,Khirni,Sapotaceae,Wild tree
281,Manilkara zapota,Sapodilla plum,Chikoo,Sapotaceae,Fruiting tree
282,Markhamia lutea,Nile tulip tree,NA,Bignoniaceae,Ornamental tree
283,Melaleuca bracteata,Golden Bottle brush,Safed Cheel,Myrtaceae,Ornamental tree
284,Melia azedarach,Bakain,Bakneem,Meliaceae,Medicinal tree
285,Memecylon umbellatum,Ironwood Tree,Anjan,Melastomataceae,Wild tree
286,Mesua ferrea,Indian Rose wood,Nag champa,Clusiaceae,Avenue tree
287,Meyna laxiflora,Muyna,Pundrika,Rubiaceae,Fruiting tree
288,Miliusa tomentosa,Hoom,Kari,Annonaceae,Wild tree
289,Millettia peguensis,Moulmein Rosewood,NA,Papilionaceae,Flowering tree
290,Millingtonia hortensis,Indian Cork Tree,Neem Chameli,Bignoniaceae,Avenue tree
291,Mimusops elengi,Spanish cherry,Maulsari,Sapotaceae,Ornamental tree
292,Mitragyna parvifolia,Kaim,Kalamb,Rubiaceae,Avenue tree
293,Morinda citrifolia,Indian Mulberry,Bartundi,Rubiaceae,Medicinal tree
294,Morinda pubescens,Indian Mulberry,Aal,Rubiaceae,Medicinal tree
295,Moringa oleifera,Drumstick tree,Senjana,Moringaceae,Fruiting tree
